Year	Chicken	Egg
1930	468491	3581
1931	449743	3532
1932	436815	3327
1933	444523	3255
1934	433937	3156
1935	389958	3081
1936	403446	3166
1937	423921	3443
1938	389624	3424
1939	418591	3561
1940	438288	3640
1941	422841	3840
1942	476935	4456
1943	542047	5000
1944	582197	5366
1945	516497	5154
1946	523227	5130
1947	467217	5077
1948	499644	5032
1949	430876	5148
1950	456549	5404
1951	430988	5322
1952	426555	5323
1953	398156	5307
1954	396776	5402
1955	390708	5407
1956	383690	5500
1957	391363	5442
1958	374281	5442
1959	387002	5542
1960	369484	5339
1961	366082	5358
1962	377392	5403
1963	375575	5345
1964	382262	5435
1965	394118	5474
1966	393019	5540
1967	428746	5836
1968	425158	5777
1969	422096	5629
1970	433280	5704
1971	421763	5806
1972	404191	5742
1973	408769	5502
1974	394101	5461
1975	379754	5382
1976	378361	5377
1977	386518	5408
1978	396933	5608
1979	400585	5777
1980	392110	5825
1981	384838	5625
1982	378609	5800
1983	364584	5656
