시점,계,관광,상용,공용,유학연수,기타
Date,외래객입국사유_전체,외래객입국사유_관광,외래객입국사유_상용,외래객입국사유_공융,외래객입국사유_유학연수,외래객입국사유_기타
2015-01-01,917054,723255,17686,3094,7752,165267
2015-02-01,1050706,815138,14354,2256,36399,182559
2015-03-01,1238144,958493,18549,3241,27129,230732
2015-04-01,1384567,1112904,17326,4913,5556,243868
2015-05-01,1334212,1060730,19010,4679,9222,240571
2015-06-01,750925,517926,12347,3122,11462,206068
2015-07-01,629737,419430,12867,3734,8477,185229
2015-08-01,1069314,730808,17385,4207,46365,270549
2015-09-01,1206764,907874,16514,4442,20035,257899
2015-10-01,1383704,1076153,18270,5404,7929,275948
2015-11-01,1150074,911647,17211,5717,10109,205390
2015-12-01,1116450,901131,13806,3460,12273,185780
2016-01-01,1077431,865064,15867,3316,9352,183832
2016-02-01,1126250,849995,13629,2549,54122,205955
2016-03-01,1389399,1123465,16149,3445,22176,224164
2016-04-01,1469674,1214201,16162,4793,7352,227166
2016-05-01,1492680,1202692,17810,4844,13378,253956
2016-06-01,1554413,1277116,14938,4431,14653,243275
2016-07-01,1703495,1405496,14633,4965,11716,266685
2016-08-01,1664303,1312514,15957,4558,54211,277063
2016-09-01,1523928,1199450,15556,4422,25300,279200
2016-10-01,1587797,1303692,16982,5082,9069,252972
2016-11-01,1309055,1076471,16713,4906,11778,199187
2016-12-01,1343398,1102769,13111,4156,17609,205753
2017-01-01,1220695,978223,15248,3649,10378,213197
2017-02-01,1252080,952948,13790,3003,59952,222387
2017-03-01,1233640,970389,16551,3312,28257,215131
2017-04-01,1075899,854669,14903,5270,9359,191698
2017-05-01,977889,738590,16530,4293,19819,198657
2017-06-01,991802,775181,13259,4069,18636,180657
2017-07-01,1008671,782389,14145,5334,14278,192525
2017-08-01,1103506,817226,14129,5190,61676,205285
2017-09-01,1078653,839415,13908,5367,24787,195176
2017-10-01,1165638,899881,16146,5192,23411,221008
2017-11-01,1093217,880745,15306,5873,14241,177052
